"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"26,6";"27,6";"25,4";"70,0";"";"";"";"";"";"";"971,1";"";"0,0";"180,0";"2,0";"";"0,0"
"01/01/2022";"0100";"24,5";"25,9";"23,5";"86,0";"";"";"";"";"";"";"971,9";"";"0,0";"180,0";"1,4";"";"0,0"
"01/01/2022";"0200";"24,4";"24,9";"23,6";"85,0";"";"";"";"";"";"";"972,5";"";"0,0";"135,0";"2,4";"0,90";"0,0"
"01/01/2022";"0300";"24,1";"24,9";"22,8";"85,0";"";"";"";"";"";"";"972,6";"";"0,0";"180,0";"2,2";"";"0,0"
"01/01/2022";"0400";"23,6";"24,6";"22,7";"88,0";"";"";"";"";"";"";"972,4";"";"0,0";"90,0";"1,7";"";"0,0"
"01/01/2022";"0500";"22,8";"23,8";"21,7";"92,0";"";"";"";"";"";"";"971,9";"";"0,0";"90,0";"2,0";"";"0,0"
"01/01/2022";"0600";"22,4";"23,1";"21,4";"92,0";"";"";"";"";"";"";"971,7";"";"1,0";"225,0";"1,9";"";"0,0"
"01/01/2022";"0700";"21,4";"22,4";"20,7";"97,0";"";"";"";"";"";"";"971,6";"";"0,0";"135,0";"1,6";"";"0,0"
"01/01/2022";"0800";"21,6";"22,6";"20,6";"97,0";"";"";"";"";"";"";"971,8";"";"1,0";"180,0";"2,4";"";"0,0"
"01/01/2022";"0900";"21,1";"22,3";"20,4";"98,0";"";"";"";"";"";"";"972,5";"";"0,0";"225,0";"1,8";"6,30";"0,0"
"01/01/2022";"1000";"22,5";"25,2";"19,3";"93,0";"";"";"";"";"";"";"973,5";"";"0,0";"0,0";"1,3";"327,60";"0,0"
"01/01/2022";"1100";"25,0";"26,3";"23,7";"84,0";"";"";"";"";"";"";"974,4";"";"2,0";"90,0";"6,4";"1060,20";"0,0"
"01/01/2022";"1200";"26,9";"28,1";"25,9";"75,0";"";"";"";"";"";"";"975,0";"";"4,0";"90,0";"7,3";"1844,10";"0,0"
"01/01/2022";"1300";"29,0";"31,3";"27,3";"65,0";"";"";"";"";"";"";"975,0";"";"3,0";"90,0";"6,1";"2575,80";"0,0"
"01/01/2022";"1400";"31,1";"32,2";"23,5";"54,0";"";"";"";"";"";"";"974,7";"";"3,0";"45,0";"7,1";"3164,40";"0,0"
"01/01/2022";"1500";"32,7";"34,0";"26,3";"48,0";"";"";"";"";"";"";"974,2";"";"3,0";"45,0";"6,8";"3503,70";"0,0"
"01/01/2022";"1600";"33,4";"35,1";"27,4";"44,0";"";"";"";"";"";"";"973,5";"";"2,0";"45,0";"6,8";"2807,10";"0,0"
"01/01/2022";"1700";"34,7";"36,5";"27,8";"38,0";"";"";"";"";"";"";"972,6";"";"3,0";"45,0";"7,2";"3253,50";"0,0"
"01/01/2022";"1800";"35,1";"36,8";"28,3";"35,0";"";"";"";"";"";"";"971,8";"";"2,0";"45,0";"6,2";"2020,50";"0,0"
"01/01/2022";"1900";"35,9";"37,6";"32,0";"34,0";"";"";"";"";"";"";"971,0";"";"2,0";"45,0";"5,9";"2372,40";"0,0"
"01/01/2022";"2000";"35,1";"36,5";"28,8";"35,0";"";"";"";"";"";"";"970,4";"";"2,0";"45,0";"5,9";"1153,80";"0,0"
"01/01/2022";"2100";"35,8";"36,6";"30,9";"34,0";"";"";"";"";"";"";"970,0";"";"1,0";"0,0";"4,3";"1336,50";"0,0"
"01/01/2022";"2200";"35,2";"36,2";"30,9";"36,0";"";"";"";"";"";"";"970,1";"";"1,0";"0,0";"5,2";"535,50";"0,0"
"01/01/2022";"2300";"30,3";"34,2";"27,4";"61,0";"";"";"";"";"";"";"970,4";"";"0,0";"0,0";"1,1";"33,30";"0,0"
"02/01/2022";"0000";"26,7";"28,1";"25,5";"78,0";"";"";"";"";"";"";"971,0";"";"0,0";"225,0";"2,0";"";"0,0"
"02/01/2022";"0100";"25,7";"26,4";"24,9";"84,0";"";"";"";"";"";"";"971,8";"";"0,0";"225,0";"1,6";"";"0,0"
"02/01/2022";"0200";"25,0";"26,3";"24,3";"86,0";"";"";"";"";"";"";"972,8";"";"0,0";"180,0";"1,8";"";"0,0"
"02/01/2022";"0300";"25,2";"26,5";"24,3";"84,0";"";"";"";"";"";"";"973,2";"";"1,0";"90,0";"2,4";"";"0,0"
"02/01/2022";"0400";"25,9";"26,8";"24,1";"81,0";"";"";"";"";"";"";"973,0";"";"1,0";"90,0";"3,5";"";"0,0"
"02/01/2022";"0500";"24,4";"26,6";"23,3";"90,0";"";"";"";"";"";"";"972,8";"";"0,0";"135,0";"1,4";"";"0,0"
"02/01/2022";"0600";"24,7";"25,4";"24,1";"88,0";"";"";"";"";"";"";"972,9";"";"0,0";"135,0";"1,7";"";"0,0"
"02/01/2022";"0700";"24,1";"25,2";"22,9";"92,0";"";"";"";"";"";"";"973,4";"";"0,0";"135,0";"2,4";"";"0,0"
"02/01/2022";"0800";"22,8";"23,8";"21,8";"97,0";"";"";"";"";"";"";"973,8";"";"0,0";"180,0";"1,6";"";"0,0"
"02/01/2022";"0900";"23,7";"24,4";"22,8";"92,0";"";"";"";"";"";"";"974,2";"";"0,0";"135,0";"2,4";"6,30";"0,0"
"02/01/2022";"1000";"24,5";"26,4";"22,7";"89,0";"";"";"";"";"";"";"975,2";"";"1,0";"135,0";"3,2";"335,70";"0,0"
"02/01/2022";"1100";"27,2";"28,7";"26,0";"79,0";"";"";"";"";"";"";"975,7";"";"2,0";"90,0";"4,6";"969,30";"0,0"
"02/01/2022";"1200";"29,6";"31,0";"28,2";"70,0";"";"";"";"";"";"";"976,1";"";"3,0";"45,0";"7,3";"1791,90";"0,0"
"02/01/2022";"1300";"31,8";"32,8";"24,7";"58,0";"";"";"";"";"";"";"976,2";"";"3,0";"45,0";"7,0";"2519,10";"0,0"
"02/01/2022";"1400";"33,3";"34,7";"25,9";"52,0";"";"";"";"";"";"";"976,4";"";"3,0";"45,0";"7,5";"2906,10";"0,0"
"02/01/2022";"1500";"34,7";"36,2";"29,2";"44,0";"";"";"";"";"";"";"976,0";"";"2,0";"0,0";"7,5";"2987,10";"0,0"
"02/01/2022";"1600";"35,3";"36,5";"27,3";"40,0";"";"";"";"";"";"";"975,2";"";"2,0";"0,0";"6,3";"2468,70";"0,0"
"02/01/2022";"1700";"36,8";"38,2";"29,8";"37,0";"";"";"";"";"";"";"974,0";"";"2,0";"0,0";"7,5";"3592,80";"0,0"
"02/01/2022";"1800";"37,2";"38,4";"31,5";"34,0";"";"";"";"";"";"";"972,9";"";"2,0";"90,0";"7,2";"2683,80";"0,0"
"02/01/2022";"1900";"36,6";"38,1";"35,9";"34,0";"";"";"";"";"";"";"971,6";"";"3,0";"90,0";"6,6";"1445,40";"0,0"
"02/01/2022";"2000";"37,6";"39,0";"36,9";"31,0";"";"";"";"";"";"";"970,8";"";"3,0";"45,0";"8,3";"2148,30";"0,0"
"02/01/2022";"2100";"37,3";"38,1";"31,0";"31,0";"";"";"";"";"";"";"971,0";"";"2,0";"45,0";"5,8";"1098,00";"0,0"
"02/01/2022";"2200";"35,0";"36,7";"32,4";"42,0";"";"";"";"";"";"";"972,0";"";"0,0";"315,0";"3,6";"242,10";"0,0"
